"","Subgroup","Year","total_person","PM25_person","O3_person"
"108","South America",2007,335785525.406495,334818012.104541,216977406.958733
"109","South America",2008,296094571.231108,295432864.554557,167286761.450246
"110","South America",2009,183197583.062465,183158622.334667,77701259.6776918
"111","South America",2010,364129937.922024,364059762.125572,212876851.038759
"112","South America",2011,259926253.240708,259114110.455583,173156607.158242
"113","South America",2012,329846210.947113,326181627.348162,203428716.977772
"114","South America",2013,271091477.636622,271090344.666851,155211200.376758
"115","South America",2014,333041524.895454,332687795.815579,204465361.553726
"116","South America",2015,329899000.90095,329899000.90095,184384466.800994
"117","South America",2016,389809913.210899,389809913.210899,234813349.586134
"118","South America",2017,356479669.468105,356479669.468105,197800798.583518
"119","South America",2018,328829463.085108,328829463.085108,158273537.289691
"120","South America",2019,405513146.642906,405512096.87479,219666302.628394
"121","Low HDI",2000,271831985.741137,271831985.741137,226655028.727456
"122","Low HDI",2001,352076435.916139,350850958.530983,299680407.821318
"123","Low HDI",2002,390154496.099245,389754037.032596,333637047.33299
"124","Low HDI",2003,334998850.842522,334998850.842522,293218620.242372
"125","Low HDI",2004,322176054.825679,322176054.825679,224854773.540589
"126","Low HDI",2005,376803011.163466,374494000.384714,352165643.68134
"127","Low HDI",2006,351722362.497864,351722362.497864,287294466.343745
"128","Low HDI",2007,312607373.722165,312607373.722165,236902982.676446
"129","Low HDI",2008,339608490.910961,339608490.910961,268010184.446459
"130","Low HDI",2009,415379276.366784,415379276.366784,365151026.593069
"131","Low HDI",2010,401389275.410485,401389275.410485,338575512.138148
"132","Low HDI",2011,364050864.99405,364050864.99405,263933097.692015
"133","Low HDI",2012,333565178.94763,333565178.94763,310799380.611984
"134","Low HDI",2013,436352115.30426,436352115.30426,356111553.081719
"135","Low HDI",2014,391581227.364498,391581227.364498,315553050.238984
"136","Low HDI",2015,439962039.260868,439962039.260868,329563417.062981
"137","Low HDI",2016,383964589.157704,383964589.157704,313139421.744983
"138","Low HDI",2017,415635994.417647,415635994.417647,327118095.640269
"139","Low HDI",2018,416730854.174306,416730854.174306,323066995.785853
"140","Low HDI",2019,448616412.325743,448616412.325743,350326860.84602
"141","Medium HDI",2000,346392515.919283,346319562.21053,315040813.975702
"142","Medium HDI",2001,229748914.114606,229197603.74332,202279470.990023
"143","Medium HDI",2002,217988519.403446,217262768.700291,139781147.420425
"144","Medium HDI",2003,266619658.833888,266619658.833888,245602464.250493
"145","Medium HDI",2004,308203327.906132,307789559.028869,245828081.945616
"146","Medium HDI",2005,289570935.429698,289570933.740329,274050506.584415
"147","Medium HDI",2006,299126924.585319,299061306.62402,275036721.254589
"148","Medium HDI",2007,330991982.715571,330973581.071513,274962654.249432
"149","Medium HDI",2008,238388529.665356,238291035.923286,205766766.469769
"150","Medium HDI",2009,572280298.693649,572177610.508537,545790523.174175
"151","Medium HDI",2010,393367343.444782,393367343.444782,363170134.134916
"152","Medium HDI",2011,244137238.140396,244128084.665533,204235144.360542
"153","Medium HDI",2012,345319170.952888,345319170.952888,308426460.123316
"154","Medium HDI",2013,306026603.903005,306026603.903005,282191261.716035
"155","Medium HDI",2014,304647724.107438,304647724.107438,251611890.694868
"156","Medium HDI",2015,342241486.843935,342241486.843935,289790177.549086
"157","Medium HDI",2016,459484613.640454,459484613.640454,415674326.713991
"158","Medium HDI",2017,331702097.65602,331694059.392272,270826466.71414
"159","Medium HDI",2018,304904499.918634,304904499.918634,250176326.056529
"160","Medium HDI",2019,377170365.9536,377132721.20805,313105206.464451
"161","High HDI",2000,763800258.688726,759842419.016592,517847669.172939
"162","High HDI",2001,752116545.751026,743581984.52876,492505861.277517
"163","High HDI",2002,911824984.327671,905495915.835794,603337944.302033
